panel,dataset,horizon,setting,test_mse,test_mae,parameter_count,seed_count,baseline_mse,baseline_mae,baseline_parameter_count,mse_change_pct,mae_change_pct,parameter_change_pct
total_history,weather,96,960,0.14403482938372325,0.19745422075129862,1006311.0,3,0.14614128419496852,0.1965337415883742,1005063.0,-1.4413824422365384,0.4683568101259139,0.12417132060378311
total_history,ETTm1,720,192,0.43403885377789564,0.43273420181158667,6835629.0,3,0.4285775581438897,0.428472593087392,6835917.0,1.2742840893624985,0.9946047408744052,-0.004213041205736179
total_history,ETTm2,720,192,0.3792639133504427,0.3908334873027744,6835629.0,3,0.37535094167338007,0.3918036578740014,6835917.0,1.0424835114620778,-0.24761651703083531,-0.004213041205736179
total_history,weather,720,192,0.32972826701280006,0.33577313102655,6836679.0,3,0.31770154919384175,0.3314500676283834,6836967.0,3.785539557322193,1.304287981927188,-0.004212394180047596
total_history,ETTm1,720,336,0.4285775581438897,0.428472593087392,6835917.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.0,0.0,0.0
total_history,ETTm2,720,336,0.37535094167338007,0.3918036578740014,6835917.0,3,0.37535094167338007,0.3918036578740014,6835917.0,0.0,0.0,0.0
total_history,weather,720,336,0.31770154919384175,0.3314500676283834,6836967.0,3,0.31770154919384175,0.3314500676283834,6836967.0,0.0,0.0,0.0
total_history,ETTm1,720,720,0.4234810051513944,0.42670875563694005,6836685.0,3,0.4285775581438897,0.428472593087392,6835917.0,-1.1891786902160195,-0.4116570065176073,0.01123477654862981
total_history,ETTm2,720,720,0.3678095021524808,0.394958402360897,6836685.0,3,0.37535094167338007,0.3918036578740014,6835917.0,-2.009170268037208,0.8051850521288761,0.01123477654862981
total_history,weather,720,720,0.30580690270366484,0.32892710293845767,6837735.0,3,0.31770154919384175,0.3314500676283834,6836967.0,-3.7439686776344683,-0.7611899759074614,0.011233051146808393
total_history,ETTm1,720,960,0.4180930632514683,0.4265852356733653,6837165.0,3,0.4285775581438897,0.428472593087392,6835917.0,-2.44634715308667,-0.44048497954727317,0.018256511891534544
total_history,ETTm2,720,960,0.3611437238950626,0.3938268838299253,6837165.0,3,0.37535094167338007,0.3918036578740014,6835917.0,-3.785049190226941,0.5163877149341412,0.018256511891534544
total_history,weather,720,960,0.30350890876285147,0.32845654961077947,6838215.0,3,0.31770154919384175,0.3314500676283834,6836967.0,-4.4672871337907205,-0.9031580651117088,0.018253708113546985
