dataset,window,variable,alpha,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct
ETTm2,13,MULL,0.35311424151328386,0.5516064124147011,0.5548370609829351,-0.5856800239307481,0.5505051337130237,0.19964936536116146
ETTm2,13,LUFL,0.12983720732657747,0.39584085801268876,0.3975457241992646,-0.43069484922175155,0.39574158956877714,0.025077867001903405
ETTm2,13,LULL,0.38160181653521913,0.016822834228663118,0.016867846607691733,-0.26756715555052835,0.016767112899613253,0.3312243840275507
ETTm2,13,OT,-0.576432979552052,0.26017937803274205,0.26584260218038813,-2.176661421234315,0.2594117584021822,0.29503477038184917
ETTm2,25,HUFL,0.0,0.36754791035213324,0.36754791035213324,0.0,0.36754791035213324,0.0
ETTm2,25,HULL,0.0,0.38045202247273374,0.38045202247273374,0.0,0.38045202247273374,0.0
ETTm2,25,MUFL,0.0,0.11360935364062236,0.11360935364062236,0.0,0.11360935364062236,0.0
ETTm2,25,MULL,0.0,0.5516064124147011,0.5516064124147011,0.0,0.5516064124147011,0.0
ETTm2,25,LUFL,0.0,0.39584085801268876,0.39584085801268876,0.0,0.39584085801268876,0.0
ETTm2,25,LULL,0.0,0.016822834228663118,0.016822834228663118,0.0,0.016822834228663118,0.0
ETTm2,25,OT,0.0,0.26017937803274205,0.26017937803274205,0.0,0.26017937803274205,0.0
ETTm2,49,HUFL,0.11942707689577896,0.36754791035213324,0.37773303262774627,-2.7711005800182775,0.3674611719760947,0.023599202606121097
ETTm2,49,HULL,-0.21227769440741173,0.38045202247273374,0.39071483910040716,-2.6975324144607318,0.3800774739899106,0.09844828275291612
ETTm2,49,MUFL,-0.0462527299022359,0.11360935364062236,0.11890625918992802,-4.662385076198243,0.11358698819885842,0.019686267941184957
ETTm2,49,MULL,0.04280835472330894,0.5516064124147011,0.5633262505466554,-2.1246740190437223,0.5516280985833344,-0.00393145694923339
ETTm2,49,LUFL,0.5049220593005039,0.39584085801268876,0.39638134805527114,-0.13654225723335037,0.3948741464261366,0.24421723199709744
ETTm2,49,LULL,-0.011769857337112492,0.016822834228663118,0.01749022534715752,-3.9671740767515016,0.01682173186819775,0.0065527630504168335
