model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,quality,duration_seconds,result_source
TimeMixer,weather,720,2021,336,0.6301258883897508,0.432296548179186,0.3186895549297333,0.33196666836738586,valid,20075.243,q2_timemixer_stability_summary
TimesNet,ETTh1,96,2021,336,0.8474792273949382,0.6321198526300752,0.4425928294658661,0.4533481001853943,valid,60.981,q2_same_protocol_local_run
TimesNet,ETTh1,192,2021,336,1.0927130697755973,0.7097161766295035,0.4390075206756592,0.4492649734020233,valid,73.076,q2_same_protocol_local_run
TimesNet,ETTh1,336,2021,336,1.308886444665661,0.7932605212624712,0.49095848202705383,0.48473888635635376,valid,61.188,q2_same_protocol_local_run
TimesNet,ETTh1,720,2021,336,1.6795623056386484,0.9107096813242785,0.552872359752655,0.519501805305481,valid,84.894,q2_same_protocol_local_run
TimesNet,ETTh2,96,2021,336,0.28476490426126727,0.3824226578820656,0.3592183291912079,0.41468870639801025,valid,54.665,q2_same_protocol_local_run
TimesNet,ETTh2,192,2021,336,0.3542493661506481,0.4192815703391843,0.40856054425239563,0.4387752413749695,valid,115.918,q2_same_protocol_local_run
TimesNet,ETTh2,336,2021,336,0.445859572667015,0.4664951955886726,0.41420912742614746,0.44128814339637756,valid,68.267,q2_same_protocol_local_run
TimesNet,ETTh2,720,2021,336,0.6889520864550509,0.5915731657728455,0.43420520424842834,0.4579293131828308,valid,76.954,q2_same_protocol_local_run
TimesNet,ETTm1,96,2021,336,0.4442607433577062,0.44307770708693656,0.332593709230423,0.3749832808971405,valid,347.22,q2_same_protocol_local_run
TimesNet,ETTm1,192,2021,336,0.5556516105019752,0.4994552895582145,0.37192457914352417,0.3941323459148407,valid,339.284,q2_same_protocol_local_run
TimesNet,ETTm1,336,2021,336,0.6640785109934116,0.543805370733522,0.3912510871887207,0.40910643339157104,valid,503.21,q2_same_protocol_local_run
TimesNet,ETTm1,720,2021,336,0.9488001162960459,0.6452819995987567,0.47765740752220154,0.45639321208000183,valid,457.4,q2_same_protocol_local_run
TimesNet,ETTm2,96,2021,336,0.13403955254093164,0.25418383801742384,0.19920115172863007,0.27902138233184814,valid,466.416,q2_same_protocol_local_run
TimesNet,ETTm2,192,2021,336,0.17247979025314855,0.2886469248308634,0.23743897676467896,0.3078291714191437,valid,328.939,q2_same_protocol_local_run
TimesNet,ETTm2,336,2021,336,0.24711970680370943,0.3432650093203736,0.30427587032318115,0.35052791237831116,valid,387.802,q2_same_protocol_local_run
TimesNet,ETTm2,720,2021,336,0.2838563395466809,0.37043123170076386,0.3993408977985382,0.40408045053482056,valid,485.432,q2_same_protocol_local_run
TimesNet,weather,96,2021,336,0.40815441687664145,0.29667718525048403,0.16499844193458557,0.22336769104003906,valid,342.148,q2_same_protocol_local_run
TimesNet,weather,192,2021,336,0.4681733916693744,0.34119328814490474,0.2118658572435379,0.2638191282749176,valid,672.189,q2_same_protocol_local_run
TimesNet,weather,336,2021,336,0.5416278437937411,0.39148327606514366,0.269330769777298,0.30664655566215515,valid,661.368,q2_same_protocol_local_run
TimesNet,weather,720,2021,336,0.6659597408184171,0.4591804861082046,0.3498378098011017,0.35727623105049133,valid,838.988,q2_same_protocol_local_run
SMamba,ETTh1,96,2021,336,0.7178379922256802,0.5740588478015979,0.3962259888648987,0.41631802916526794,valid,20.066,q2_same_protocol_local_run
SMamba,ETTh1,192,2021,336,0.9627339265263309,0.6625034313900748,0.4327000081539154,0.44001305103302,valid,16.957,q2_same_protocol_local_run
SMamba,ETTh1,336,2021,336,1.1855135084946307,0.746723205240931,0.4525505304336548,0.45498761534690857,valid,16.957,q2_same_protocol_local_run
SMamba,ETTh1,720,2021,336,1.509954510434341,0.8605264647626943,0.5102039575576782,0.5086694359779358,valid,14.45,q2_same_protocol_local_run
SMamba,ETTh2,96,2021,336,0.22923467592407498,0.33207120671174034,0.3023744821548462,0.35829779505729675,valid,17.714,q2_same_protocol_local_run
SMamba,ETTh2,192,2021,336,0.3054773504588925,0.3812512222447034,0.3719128668308258,0.4008903503417969,valid,17.408,q2_same_protocol_local_run
SMamba,ETTh2,336,2021,336,0.3913381853961808,0.4326103926555734,0.39652037620544434,0.4220576286315918,valid,17.409,q2_same_protocol_local_run
SMamba,ETTh2,720,2021,336,0.6402745646036015,0.563212423012935,0.42149895429611206,0.44633886218070984,valid,14.451,q2_same_protocol_local_run
SMamba,ETTm1,96,2021,336,0.3677526887228082,0.40281499311553076,0.30116719007492065,0.3550400733947754,valid,57.102,q2_same_protocol_local_run
SMamba,ETTm1,192,2021,336,0.48409570028844134,0.46284066528762474,0.34433478116989136,0.38265368342399597,valid,87.478,q2_same_protocol_local_run
SMamba,ETTm1,336,2021,336,0.6310269811966541,0.528544704283004,0.37789198756217957,0.4034898281097412,valid,88.229,q2_same_protocol_local_run
SMamba,ETTm1,720,2021,336,0.9409794338216222,0.6415163669609194,0.4347465932369232,0.4369533956050873,valid,70.843,q2_same_protocol_local_run
SMamba,ETTm2,96,2021,336,0.12623552623485246,0.2478842040222238,0.17782743275165558,0.2687492370605469,valid,48.534,q2_same_protocol_local_run
SMamba,ETTm2,192,2021,336,0.1679253002996666,0.28503131373802115,0.2329632192850113,0.30614519119262695,valid,48.281,q2_same_protocol_local_run
SMamba,ETTm2,336,2021,336,0.2118234092592198,0.3178307974318122,0.2843877375125885,0.33906254172325134,valid,70.188,q2_same_protocol_local_run
SMamba,ETTm2,720,2021,336,0.2787638445558507,0.3606031040916718,0.37611162662506104,0.3956252932548523,valid,49.986,q2_same_protocol_local_run
SMamba,weather,96,2021,336,0.3942040783484539,0.28302464932936866,0.15735948085784912,0.20709729194641113,valid,64.277,q2_same_protocol_local_run
SMamba,weather,192,2021,336,0.46287985695691236,0.33015006258170754,0.20164340734481812,0.2479715794324875,valid,65.032,q2_same_protocol_local_run
SMamba,weather,336,2021,336,0.5463861494940713,0.38340254905457094,0.25379109382629395,0.28623175621032715,valid,65.724,q2_same_protocol_local_run
