factor,dataset,horizon,seed,seq_len,recent_len,pool,mse,mae,parameter_count,record
pool,ETTm2,720,2022,336,96,8,0.2740000382638136,0.36119910098350544,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p8_s2022.json
pool,ETTm2,720,2022,336,96,24,0.2750106662425414,0.3624277182827285,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p24_s2022.json
history,ETTm1,96,2023,192,96,16,0.37424420377320516,0.4047470773313522,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l192_r96_p16_s2023.json
history,ETTm1,96,2023,336,96,16,0.36684479229199557,0.401603290656836,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l336_r96_p16_s2023.json
history,ETTm1,96,2023,720,96,16,0.37133346782993176,0.4046822299323281,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l720_r96_p16_s2023.json
history,ETTm1,96,2023,960,96,16,0.37223397468295805,0.40769440850777294,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l960_r96_p16_s2023.json
history,ETTm1,720,2023,192,96,16,0.9338153131523591,0.641515066289768,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l192_r96_p16_s2023.json
history,ETTm1,720,2023,336,96,16,0.9369639172553743,0.6386861997479106,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l336_r96_p16_s2023.json
history,ETTm1,720,2023,720,96,16,0.9143123524269964,0.6342188807846872,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l720_r96_p16_s2023.json
history,ETTm1,720,2023,960,96,16,0.891815769390428,0.6320493258559567,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l960_r96_p16_s2023.json
history,ETTm2,96,2023,192,96,16,0.1278628503410496,0.2461614566630866,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l192_r96_p16_s2023.json
history,ETTm2,96,2023,336,96,16,0.12799332499268082,0.24551570918965715,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l336_r96_p16_s2023.json
history,ETTm2,96,2023,720,96,16,0.12292031138194431,0.24133231612683784,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l720_r96_p16_s2023.json
history,ETTm2,96,2023,960,96,16,0.12433787697564193,0.2445903081636547,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l960_r96_p16_s2023.json
history,ETTm2,720,2023,192,96,16,0.2845096521854651,0.3694554689707252,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l192_r96_p16_s2023.json
history,ETTm2,720,2023,336,96,16,0.2757137073798924,0.35866450547733675,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l336_r96_p16_s2023.json
history,ETTm2,720,2023,720,96,16,0.28245915645739555,0.3677249140202264,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l720_r96_p16_s2023.json
history,ETTm2,720,2023,960,96,16,0.28601262197519833,0.37053146697657513,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l960_r96_p16_s2023.json
history,weather,96,2023,192,96,16,0.38536019775072367,0.26688462680874864,1004775,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l192_r96_p16_s2023.json
history,weather,96,2023,336,96,16,0.3817056869508006,0.26552371234307304,1005063,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l336_r96_p16_s2023.json
history,weather,96,2023,720,96,16,0.37765928673420607,0.26821228631096156,1005831,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l720_r96_p16_s2023.json
history,weather,96,2023,960,96,16,0.37229102491061844,0.2657581737405107,1006311,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l960_r96_p16_s2023.json
history,weather,720,2023,192,96,16,0.6662849773590374,0.45313759306589907,6836679,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l192_r96_p16_s2023.json
history,weather,720,2023,336,96,16,0.6446775685565066,0.441322123256114,6836967,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l336_r96_p16_s2023.json
history,weather,720,2023,720,96,16,0.5995996049357647,0.41564209730018925,6837735,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l720_r96_p16_s2023.json
history,weather,720,2023,960,96,16,0.5894604624541426,0.40971503894919165,6838215,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l960_r96_p16_s2023.json
recent,ETTm1,96,2023,336,48,16,0.3753025291894418,0.40665627162655504,555597,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h96_l336_r48_p16_s2023.json
recent,ETTm1,96,2023,336,192,16,0.3613353616878044,0.3980935268972496,1900845,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h96_l336_r192_p16_s2023.json
pool,ETTm1,96,2023,336,96,8,0.37837008499609776,0.4103841660799577,1004493,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h96_l336_r96_p8_s2023.json
pool,ETTm1,96,2023,336,96,24,0.36719729974740145,0.4023684707884865,1003853,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h96_l336_r96_p24_s2023.json
recent,ETTm1,720,2023,336,48,16,0.9449057545997174,0.6419755527440507,3482157,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h720_l336_r48_p16_s2023.json
recent,ETTm1,720,2023,336,192,16,0.9462717558095554,0.6410702240549357,13543437,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h720_l336_r192_p16_s2023.json
