dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm1,720,no_graph,w/o Graph,2021,0.9363660319649774,0.6375419003612361,0.4299263077010616,0.42941803546698165,,one_shot_after_validation_selection
ETTm1,720,no_graph,w/o Graph,2022,0.9344614431098982,0.6377028342340527,0.42711375343826097,0.4280850496767688,,one_shot_after_validation_selection
ETTm1,720,no_graph,w/o Graph,2023,0.9303287377304933,0.6357574275828554,0.42633315861744825,0.4264397559231959,,one_shot_after_validation_selection
ETTm2,96,full,TimeRole (Full),2021,0.12291466004130268,0.24302524385196883,0.17185743153095245,0.26104092597961426,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,full,TimeRole (Full),2022,0.12654909524344227,0.2456937061757784,0.17612236738204956,0.264007568359375,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,full,TimeRole (Full),2023,0.12799332537923838,0.24551571008201886,0.17917391657829285,0.26717668771743774,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,no_dhc,w/o DHC,2021,0.12860083329748384,0.24753681880652414,0.18222840130329132,0.2646993100643158,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,no_dhc,w/o DHC,2022,0.1332777245948746,0.2525442522928791,0.18960070610046387,0.2725439965724945,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,no_dhc,w/o DHC,2023,0.1354250661832685,0.25062084906720067,0.20162811875343323,0.2780067026615143,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,96,no_decomp,w/o Decomposition,2021,0.12433799851967964,0.2435100077579105,0.1706827093142078,0.26138925495527304,,one_shot_after_validation_selection
ETTm2,96,no_decomp,w/o Decomposition,2022,0.12400480939060794,0.24376771249559456,0.16982081738017157,0.2611930858655387,,one_shot_after_validation_selection
ETTm2,96,no_decomp,w/o Decomposition,2023,0.1257310989085145,0.24469406322699058,0.1741814518183535,0.2643536575379391,,one_shot_after_validation_selection
ETTm2,96,no_patch,w/o Patch,2021,0.12208447683922037,0.24045786466178168,0.1709760937348398,0.25828956989567764,,one_shot_after_validation_selection
ETTm2,96,no_patch,w/o Patch,2022,0.12354203794081285,0.24231817821046767,0.1740407916517497,0.261215610363042,,one_shot_after_validation_selection
ETTm2,96,no_patch,w/o Patch,2023,0.1274125654076094,0.24492739073544775,0.17921585042364613,0.26612635163822634,,one_shot_after_validation_selection
ETTm2,96,no_mamba,w/o Mamba,2021,0.1218528469167576,0.2408601731688601,0.17427216878195187,0.2630217937570047,,one_shot_after_validation_selection
ETTm2,96,no_mamba,w/o Mamba,2022,0.12238411873072849,0.24245349355770968,0.17371261339305874,0.2636435782259748,,one_shot_after_validation_selection
ETTm2,96,no_mamba,w/o Mamba,2023,0.12066442400984084,0.2398157820284733,0.17399409041723213,0.26261373493464474,,one_shot_after_validation_selection
ETTm2,96,no_graph,w/o Graph,2021,0.12556189895284864,0.24415421315676422,0.17561794391507665,0.26335961678828795,,one_shot_after_validation_selection
ETTm2,96,no_graph,w/o Graph,2022,0.1253502117654638,0.24652815308311998,0.17410267153071454,0.2644140985482333,,one_shot_after_validation_selection
