model,dataset,horizon,n_seeds,seeds,quality,diverged_seeds,test_mse_mean,test_mse_std,mse_rank,test_mae_mean,test_mae_std,mae_rank
MSGNet,ETTm2,720,3,2021;2022;2023,valid,,0.401663472255071,0.010165630968427505,6,0.40551772713661194,0.004508839893501943,5
TimeRole,ETTm2,720,3,2021;2022;2023,valid,,0.37547241648038227,0.0007456833417008525,3,0.39167741934458417,0.0026973139014039873,2
DLinear,weather,96,3,2021;2022;2023,valid,,0.17489821215470633,0.0004740256600856104,8,0.23656785984834036,0.0012376332333602824,8
PatchTST,weather,96,3,2021;2022;2023,valid,,0.1559969981511434,0.0020828897690850193,3,0.20560607314109802,0.0031420356470471217,3
iTransformer,weather,96,3,2021;2022;2023,valid,,0.1629765878121058,0.0011940225191802236,6,0.21240445971488953,0.0008841392569138886,5
TimeMixer,weather,96,3,2021;2022;2023,valid,,0.14780440429846445,0.0004120459159921827,2,0.1976466824611028,0.00019293640757613964,2
TimesNet,weather,96,3,2021;2022;2023,valid,,0.16629270215829214,0.0015887853816729022,7,0.22491155564785004,0.0025644056192086428,7
SMamba,weather,96,3,2021;2022;2023,valid,,0.15669549504915872,0.0013745389783659323,4,0.20645822087923685,0.0008343121601125134,4
MSGNet,weather,96,3,2021;2022;2023,valid,,0.16155743102232614,0.0011041816849045399,5,0.21787569920221964,0.001967462434169145,6
TimeRole,weather,96,3,2021;2022;2023,valid,,0.14614136517047882,0.0005649335017747203,1,0.1965336799621582,0.0010796074099766583,1
DLinear,weather,192,3,2021;2022;2023,valid,,0.2156956891218821,0.0007356696348953761,8,0.2735562225182851,0.0019038886846774485,8
PatchTST,weather,192,3,2021;2022;2023,valid,,0.2009454220533371,0.0020740866305023033,3,0.24660852551460266,0.0012817366902396143,3
iTransformer,weather,192,3,2021;2022;2023,valid,,0.20462459325790405,0.003590848623126847,5,0.25041330854098004,0.002648858702122474,4
TimeMixer,weather,192,3,2021;2022;2023,valid,,0.19178363184134165,0.0029432245881288724,2,0.24069316685199738,0.0029440685868498528,2
TimesNet,weather,192,3,2021;2022;2023,valid,,0.2145580848058065,0.004031214616057211,7,0.26549283663431805,0.001640333289445463,7
SMamba,weather,192,3,2021;2022;2023,valid,,0.20452571908632913,0.0038804114756511615,4,0.2518161783615748,0.005601893402393467,5
MSGNet,weather,192,3,2021;2022;2023,valid,,0.21129376192887625,0.0035559201340010942,6,0.25988922516504925,0.0008289407215894152,6
TimeRole,weather,192,3,2021;2022;2023,valid,,0.18804573019345602,0.0003691281009527681,1,0.2368517518043518,0.0011982718401090068,1
DLinear,weather,336,3,2021;2022;2023,valid,,0.26241501172383624,0.0015007959495698462,7,0.31369608640670776,0.002925007983349642,8
PatchTST,weather,336,3,2021;2022;2023,valid,,0.2564720610777537,0.0030984984120326865,4,0.29033468166987103,0.0027931264421895727,5
iTransformer,weather,336,3,2021;2022;2023,valid,,0.2565149466196696,0.0022941673071547094,5,0.2897590895493825,0.0020392949006788007,4
TimeMixer,weather,336,3,2021;2022;2023,valid,,0.2424327532450358,0.0008846777481080368,2,0.2808755139509837,0.0008984764524675342,2
TimesNet,weather,336,3,2021;2022;2023,valid,,0.2724100748697917,0.006907273438931349,8,0.3067589998245239,0.004762199856457416,7
SMamba,weather,336,3,2021;2022;2023,valid,,0.2554955979188283,0.002703675599496736,3,0.2878568669160207,0.0017206163752144388,3
MSGNet,weather,336,3,2021;2022;2023,valid,,0.26101075609525043,0.004556190281197127,6,0.2944708466529846,0.003020140636341988,6
TimeRole,weather,336,3,2021;2022;2023,valid,,0.24157377084096274,0.0003712803418107544,1,0.2776183485984802,0.00046356048295696724,1
DLinear,weather,720,3,2021;2022;2023,valid,,0.3258343239625295,0.0021863780190972608,3,0.36639928817749023,0.0035632544041205743,8
PatchTST,weather,720,3,2021;2022;2023,valid,,0.33022526899973553,0.0014724291067110342,5,0.3403980533281962,0.0011327249828277273,5
iTransformer,weather,720,3,2021;2022;2023,valid,,0.3306786318620046,0.004312922933116522,6,0.3397033214569092,0.002271781085387369,4
TimeMixer,weather,720,3,2021;2022;2023,valid,,0.3186766902605693,0.0015588651867042035,2,0.3334137598673503,0.0015525322066434703,2
TimesNet,weather,720,3,2021;2022;2023,valid,,0.34799157579739887,0.0016129554361767734,7,0.3549600938955943,0.0020659630698823587,6
SMamba,weather,720,3,2021;2022;2023,valid,,0.3258453706900279,0.0035691746448580654,4,0.3386754095554352,0.002193536985718526,3
MSGNet,weather,720,3,2021;2022;2023,valid,,0.3696221212546031,0.016920849755753756,8,0.36243083079655963,0.008142257713311344,7
TimeRole,weather,720,3,2021;2022;2023,valid,,0.3177015980084737,0.00044818736986456276,1,0.33145010471343994,0.00026684726370893854,1
